School, CoachingSalariesBenefitsandBonusespaidbytheUniversityandRelatedEntities
Kentucky, 9181494
OhioState, 8836403
Kansas, 7088339
Louisville, 6734952
Oregon, 5218557
Virginia, 5179946
MichiganState, 5026646
Oklahoma, 4976138
Illinois, 4941805
Indiana, 4890675
WestVirginia, 4781544
FloridaState, 4760926
Michigan, 4755713
Utah, 4646966
Alabama, 4489123
Texas, 4252875
Arizona, 4221934
Missouri, 4182524
TexasAM, 4138343
Maryland, 4021890
Arkansas, 4012849
OleMiss, 3988716
LSU, 3972682
NorthCarolina, 3925811
Memphis, 3866121
Purdue, 3750916
VirginiaTech, 3732398
Georgia, 3694240
Auburn, 3685718
Tennessee, 3636173
KansasState, 3633029
Cincinnati, 3588327
NCState, 3546387
TexasTech, 3515779
Wisconsin, 3476141
Minnesota, 3465646
Florida, 3446054
ArizonaState, 3387460
Iowa, 3348978
Nebraska, 3336252
Clemson, 3244897
Rutgers, 3201820
Washington, 3175870
IowaState, 3103165
Colorado, 3014643
MississippiState, 2970140
OregonState, 2882327
Connecticut, 2742319
GeorgiaTech, 2699108
Houston, 2529687
ColoradoState, 2455366
California, 2437654
OklahomaState, 2144594
PennState, 2131751
WashingtonState, 2056651
SouthFlorida, 1859240
Nevada, 1787146
SouthCarolina, 1785505
SanDiegoState, 1731133
UCF, 1726423
UNLV, 1594080
NorthTexas, 1553154
NewMexico, 1472196
Buffalo, 1458093
MiddleTennessee, 1422025
FresnoState, 1352105
BoiseState, 1329824
Wyoming, 1279553
UAB, 1249453
WesternKentucky, 1242748
UTEP, 1239728
GeorgiaState, 1233983
AirForce, 1231925
EastCarolina, 1174599
LouisianaLafayette, 1152062
OldDominion, 1135969
UtahState, 1101126
FAU, 1071611
Massachusetts, 1044522
Ohio, 1039896
Toledo, 1027729
SanJoseState, 1010032
MiamiOhio, 965570
WesternMichigan, 961301
Akron, 950103
KentState, 948560
LouisianaTech, 943262
CentralMichigan, 940871
Charlotte, 912304
SouthAlabama, 870331
Marshall, 868747
BowlingGreen, 828619
EasternMichigan, 809477
UTSA, 758570
NewMexicoState, 750257
BallState, 748028
FIU, 744380
SouthernMississippi, 735176
GeorgiaSouthern, 705083
CoastalCarolina, 703947
TexasState, 689973
NorthernIllinois, 610353
AppState, 587374
LouisianaMonroe, 543299
ArkansasState, 449333
UCLA, 0
Navy, 0
Total, 274457240
Average, 2565020
