School, AthleticStudentAid
SouthCarolina, 1056403
Connecticut, 959656
Maryland, 958892
Auburn, 904716
LSU, 884282
Virginia, 881563
Clemson, 872737
Michigan, 870905
GeorgiaTech, 864714
PennState, 799977
Texas, 792821
Massachusetts, 783743
UCLA, 783738
Colorado, 778807
Arizona, 751679
NorthCarolina, 746326
Tennessee, 745353
Rutgers, 721253
Wisconsin, 713515
MississippiState, 702309
Oklahoma, 700396
Kansas, 697561
ColoradoState, 697072
ArizonaState, 692976
OhioState, 689119
Indiana, 687029
Illinois, 683231
Buffalo, 665675
Washington, 663364
Alabama, 648862
Utah, 643788
FloridaState, 631789
MichiganState, 627992
Kentucky, 624713
Arkansas, 619534
MiamiOhio, 618699
Florida, 607459
Missouri, 604608
Minnesota, 596504
UNLV, 589539
OleMiss, 584721
Oregon, 580032
WashingtonState, 575261
Cincinnati, 573060
CoastalCarolina, 563902
Nebraska, 561305
VirginiaTech, 559534
WestVirginia, 555447
KansasState, 554170
Ohio, 552864
Purdue, 550570
NCState, 548071
Louisville, 543622
SanJoseState, 542153
Memphis, 538223
MiddleTennessee, 536694
BoiseState, 531201
Nevada, 525026
IowaState, 518957
WesternKentucky, 518628
NewMexico, 518499
NewMexicoState, 514750
EastCarolina, 511942
SouthFlorida, 509860
UAB, 508829
California, 502408
Charlotte, 498132
WesternMichigan, 495979
Iowa, 493639
SanDiegoState, 491730
UCF, 488189
Toledo, 487273
TexasAM, 486265
OldDominion, 482243
GeorgiaState, 481706
TexasState, 479116
OregonState, 478935
Georgia, 475555
ArkansasState, 460272
Houston, 458561
UtahState, 457511
LouisianaLafayette, 454174
NorthernIllinois, 449007
Akron, 444697
FresnoState, 442504
Wyoming, 442368
SouthAlabama, 440784
Marshall, 432610
LouisianaTech, 431466
BowlingGreen, 418897
BallState, 418515
NorthTexas, 414852
EasternMichigan, 413566
KentState, 408390
UTEP, 405946
UTSA, 403955
AppState, 394008
FIU, 376163
TexasTech, 369365
CentralMichigan, 354032
SouthernMississippi, 336930
GeorgiaSouthern, 326827
OklahomaState, 313904
LouisianaMonroe, 293549
FAU, 192625
AirForce, 0
Total, 60237268
Average, 568276
