School, Expenses
Louisville, 19847347
Kentucky, 18047858
MichiganState, 15400339
TexasAM, 13412055
Tennessee, 13114955
Indiana, 13002715
OleMiss, 12419645
OhioState, 11979259
Memphis, 11932659
TexasTech, 11848111
Auburn, 11775810
Illinois, 11607632
UCLA, 11510394
Connecticut, 11240790
Nebraska, 11142604
Kansas, 10968620
Virginia, 10914228
Arizona, 10795208
Texas, 10721208
Washington, 10512810
FloridaState, 10502885
WestVirginia, 10355095
Oregon, 10232395
Arkansas, 9883017
NCState, 9822561
Oklahoma, 9669952
VirginiaTech, 9593737
Florida, 9443199
Alabama, 9429629
LSU, 9257739
NorthCarolina, 9162989
Missouri, 9118566
Utah, 8926637
Iowa, 8857034
ArizonaState, 8733671
Wisconsin, 8607522
Maryland, 8563323
Minnesota, 8435194
Rutgers, 8350138
Georgia, 8304553
Purdue, 8286755
SouthCarolina, 8230498
Clemson, 7955154
KansasState, 7741685
Houston, 7726256
IowaState, 7584087
Michigan, 7469435
MississippiState, 7373585
PennState, 7368414
GeorgiaTech, 7318594
California, 7177831
OklahomaState, 7050752
WashingtonState, 6778055
Colorado, 6568546
OregonState, 6401055
Cincinnati, 6216027
UNLV, 5630536
SanDiegoState, 5560084
UCF, 5554279
SouthFlorida, 4982170
UtahState, 4783241
ColoradoState, 4328160
Massachusetts, 4302473
NewMexico, 4143361
CoastalCarolina, 4079050
EastCarolina, 4065679
Nevada, 3897936
UTEP, 3803326
UAB, 3705028
Charlotte, 3685899
Wyoming, 3596687
BoiseState, 3531302
OldDominion, 3520745
NewMexicoState, 3351796
FresnoState, 3221377
WesternKentucky, 3185861
MiddleTennessee, 3151735
Ohio, 3106406
Akron, 3087252
NorthTexas, 3029266
Buffalo, 3019576
Marshall, 3001880
AirForce, 2936227
Hawaii, 2907517
GeorgiaState, 2628398
BowlingGreen, 2622558
SanJoseState, 2598369
LouisianaLafayette, 2561076
Toledo, 2465023
LouisianaTech, 2463588
UTSA, 2398191
MiamiOhio, 2322697
WesternMichigan, 2204126
ArkansasState, 2166758
CentralMichigan, 2166040
FAU, 2049793
EasternMichigan, 2048250
FIU, 2043735
KentState, 2022791
AppState, 1978719
BallState, 1940843
SouthernMississippi, 1885873
SouthAlabama, 1858093
TexasState, 1805819
NorthernIllinois, 1668100
LouisianaMonroe, 1626464
GeorgiaSouthern, 1622981
Total, 711007946
Average, 6644934
