School, AthleticStudentAid
Auburn, 1095536
Virginia, 940704
Maryland, 888329
Clemson, 879668
GeorgiaTech, 857433
VirginiaTech, 839236
Connecticut, 825203
LSU, 814163
Massachusetts, 802888
Michigan, 800284
MichiganState, 799793
NorthCarolina, 796137
SouthCarolina, 774959
Oregon, 771718
Alabama, 763523
Tennessee, 761455
Colorado, 747020
Washington, 719205
FloridaState, 707020
UCLA, 700643
Illinois, 699894
Louisville, 694635
Oklahoma, 688702
MississippiState, 683728
Arizona, 679506
ArizonaState, 678959
OhioState, 674636
WashingtonState, 671587
Missouri, 670877
PennState, 669504
Rutgers, 664138
ColoradoState, 659406
Texas, 656565
Nebraska, 634682
Buffalo, 633675
NCState, 628417
MiddleTennessee, 617875
MiamiOhio, 612759
Arkansas, 600394
OleMiss, 591945
Kansas, 590425
TexasAM, 588305
Ohio, 585485
CoastalCarolina, 581136
OregonState, 575943
WestVirginia, 575836
Florida, 575801
KansasState, 571884
California, 570856
UCF, 562065
Memphis, 551656
Hawaii, 547485
Indiana, 544866
EastCarolina, 543280
Minnesota, 538254
Wisconsin, 533732
Utah, 532903
BoiseState, 529709
Purdue, 528107
SouthFlorida, 524411
NewMexicoState, 521596
UNLV, 517003
Kentucky, 516291
WesternMichigan, 507853
OldDominion, 496200
Cincinnati, 494701
ArkansasState, 493136
Charlotte, 492617
UtahState, 492070
Akron, 485593
NewMexico, 483948
SanDiegoState, 479847
SanJoseState, 469270
Toledo, 464516
Marshall, 463064
Nevada, 459650
Georgia, 456060
UAB, 454458
GeorgiaSouthern, 453129
Iowa, 452924
WesternKentucky, 447734
LouisianaLafayette, 446255
Houston, 443266
IowaState, 442876
LouisianaTech, 437848
UTEP, 436790
FresnoState, 434095
BowlingGreen, 433573
EasternMichigan, 429020
GeorgiaState, 426380
TexasTech, 417513
KentState, 415518
Wyoming, 407222
BallState, 392277
SouthAlabama, 373167
TexasState, 364798
OklahomaState, 364739
NorthTexas, 356496
NorthernIllinois, 350054
UTSA, 348757
CentralMichigan, 344767
AppState, 324011
SouthernMississippi, 318753
LouisianaMonroe, 305854
FIU, 281075
FAU, 176861
AirForce, 0
Total, 60122565
Average, 561893
