School, SupportStaffAdministrativeCompensationBenefitsandBonusespaidbytheUniversityandRelatedEntities
Illinois, 1470227
Virginia, 1209168
Kentucky, 1125050
Indiana, 1070002
Missouri, 1005556
TexasAM, 992250
Utah, 962427
OhioState, 930806
MichiganState, 895209
NorthCarolina, 892731
Kansas, 867571
VirginiaTech, 857714
Washington, 838737
OklahomaState, 823232
IowaState, 822181
Auburn, 806578
Texas, 788990
NCState, 774929
Clemson, 760425
SanDiegoState, 743390
TexasTech, 738985
Arkansas, 692723
Georgia, 681313
OleMiss, 652169
Rutgers, 624638
Louisville, 624289
UCLA, 609961
Tennessee, 592182
Cincinnati, 579605
Connecticut, 576130
Alabama, 575099
LSU, 571201
PennState, 542947
SouthCarolina, 524171
Nebraska, 521488
FloridaState, 512221
Arizona, 511905
Oklahoma, 510285
Iowa, 488716
California, 482062
ArizonaState, 477773
Oregon, 472253
Michigan, 447922
Wisconsin, 441170
Purdue, 432739
WestVirginia, 431431
UNLV, 430694
Minnesota, 411308
GeorgiaTech, 410700
Colorado, 371948
NewMexico, 367393
Maryland, 364383
Florida, 362379
OregonState, 329669
Nevada, 323161
KansasState, 317478
EastCarolina, 303320
UAB, 298145
Houston, 287016
MississippiState, 277336
Memphis, 259818
UTEP, 257821
Massachusetts, 255383
OldDominion, 235055
UCF, 234113
ColoradoState, 226394
WashingtonState, 216142
WesternKentucky, 213349
SouthFlorida, 211077
Wyoming, 209058
Charlotte, 208903
NewMexicoState, 186536
Marshall, 178431
LouisianaTech, 170710
SouthernMississippi, 149619
LouisianaLafayette, 149146
GeorgiaState, 144807
BallState, 143848
FresnoState, 136780
BoiseState, 136201
FIU, 128923
NorthTexas, 126391
UTSA, 123913
TexasState, 123762
CoastalCarolina, 118672
AirForce, 114535
FAU, 108121
Akron, 106026
Buffalo, 105423
EasternMichigan, 103895
MiddleTennessee, 102733
BowlingGreen, 97648
Ohio, 90261
SanJoseState, 89856
ArkansasState, 75162
SouthAlabama, 74911
Toledo, 73572
WesternMichigan, 67818
LouisianaMonroe, 61074
CentralMichigan, 57926
UtahState, 57448
Hawaii, 49350
NorthernIllinois, 48346
AppState, 44777
GeorgiaSouthern, 42926
MiamiOhio, 0
KentState, 0
Total, 43924141
Average, 410505
