School, AthleticFacilitiesDebtServiceLeasesandRentalFee
Louisville, 4250101
OleMiss, 2386987
MichiganState, 2232871
NCState, 1470546
Tennessee, 1435607
OhioState, 1431495
Florida, 1090611
FloridaState, 1062358
Arkansas, 671801
Connecticut, 544500
ArizonaState, 469882
UTEP, 441731
TexasAM, 436608
BoiseState, 334757
VirginiaTech, 325963
UCF, 290810
TexasTech, 268661
Nebraska, 243193
Wisconsin, 236062
SouthFlorida, 213000
California, 196000
SanDiegoState, 194577
GeorgiaState, 144054
CoastalCarolina, 133180
UtahState, 100754
PennState, 85149
NewMexicoState, 80000
AirForce, 65420
UAB, 42005
LouisianaLafayette, 32088
Utah, 29750
SouthCarolina, 22289
Alabama, 15964
EastCarolina, 5922
NorthernIllinois, 2970
Massachusetts, 2809
Kentucky, 2500
WestVirginia, 2209
WesternMichigan, 990
MiamiOhio, 510
Missouri, 250
UCLA, 0
Houston, 0
OregonState, 0
Clemson, 0
Nevada, 0
FresnoState, 0
Wyoming, 0
Georgia, 0
Buffalo, 0
Iowa, 0
MississippiState, 0
UTSA, 0
WesternKentucky, 0
Cincinnati, 0
Michigan, 0
Minnesota, 0
GeorgiaSouthern, 0
Marshall, 0
Kansas, 0
ColoradoState, 0
Purdue, 0
OldDominion, 0
ArkansasState, 0
Akron, 0
Maryland, 0
UNLV, 0
LouisianaTech, 0
FIU, 0
MiddleTennessee, 0
NorthCarolina, 0
Indiana, 0
OklahomaState, 0
Ohio, 0
TexasState, 0
AppState, 0
Washington, 0
NewMexico, 0
Auburn, 0
Texas, 0
Memphis, 0
BallState, 0
FAU, 0
WashingtonState, 0
LouisianaMonroe, 0
Virginia, 0
KansasState, 0
NorthTexas, 0
Oregon, 0
BowlingGreen, 0
GeorgiaTech, 0
Colorado, 0
Rutgers, 0
SanJoseState, 0
Oklahoma, 0
CentralMichigan, 0
IowaState, 0
Toledo, 0
LSU, 0
Charlotte, 0
SouthernMississippi, 0
EasternMichigan, 0
Illinois, 0
Arizona, 0
KentState, 0
SouthAlabama, 0
Total, 20996934
Average, 198084
