School, SupportStaffAdministrativeCompensationBenefitsandBonusespaidbytheUniversityandRelatedEntities
Kentucky, 1328736
Louisville, 1093359
Indiana, 1038391
Virginia, 927547
Illinois, 927174
NorthCarolina, 873002
OhioState, 756617
NCState, 742461
Missouri, 740575
VirginiaTech, 722858
Washington, 711650
Kansas, 705403
TexasTech, 677416
TexasAM, 654643
Clemson, 646698
IowaState, 634985
SanDiegoState, 629397
Rutgers, 628486
MichiganState, 625638
Purdue, 622336
Texas, 596698
SouthCarolina, 577126
UNLV, 572072
Michigan, 563645
Utah, 562860
Arkansas, 555818
OleMiss, 540572
Auburn, 536566
PennState, 520989
Oklahoma, 518355
Connecticut, 498601
Alabama, 472187
GeorgiaTech, 449104
Iowa, 445663
LSU, 431742
Colorado, 423156
Wisconsin, 421602
WashingtonState, 418893
Arizona, 417443
Minnesota, 416926
Cincinnati, 416065
Oregon, 408391
California, 400997
Houston, 380271
Georgia, 366316
KansasState, 353922
Tennessee, 348149
UCLA, 341861
Florida, 340645
NewMexico, 333871
OklahomaState, 328137
ColoradoState, 321550
FloridaState, 305957
Nebraska, 304439
Memphis, 295245
Maryland, 292831
MississippiState, 283398
WesternKentucky, 262276
UAB, 261825
SouthFlorida, 259993
UCF, 240896
ArizonaState, 240167
OldDominion, 238857
EastCarolina, 236198
Wyoming, 232353
WestVirginia, 229542
Massachusetts, 228373
OregonState, 223268
Nevada, 219078
UTEP, 177919
LouisianaTech, 166417
LouisianaLafayette, 165780
Charlotte, 163855
FresnoState, 146879
Marshall, 146486
FAU, 144959
NewMexicoState, 137430
EasternMichigan, 133650
CoastalCarolina, 120178
GeorgiaState, 119746
TexasState, 118161
Akron, 112378
NorthTexas, 107036
FIU, 102055
UTSA, 98257
AirForce, 97846
SouthernMississippi, 97105
SanJoseState, 94193
BowlingGreen, 92476
AppState, 88416
CentralMichigan, 84203
Toledo, 82832
MiddleTennessee, 80447
SouthAlabama, 80075
BoiseState, 78671
Ohio, 78097
WesternMichigan, 73641
BallState, 71097
NorthernIllinois, 62778
LouisianaMonroe, 60459
ArkansasState, 52820
UtahState, 18277
GeorgiaSouthern, 14125
Navy, 0
Buffalo, 0
MiamiOhio, 0
KentState, 0
Total, 37791005
Average, 353186
