School, Expenses
Texas, 17738598
Kentucky, 17180834
Kansas, 14116246
Arizona, 13586274
Louisville, 12449423
Indiana, 11361335
Oklahoma, 10587027
OleMiss, 10544475
Nebraska, 10395527
Tennessee, 10248534
Auburn, 9917358
MichiganState, 9606097
OhioState, 9481027
TexasTech, 9156001
UCLA, 9072651
Illinois, 8983664
Utah, 8597512
Oregon, 8528187
FloridaState, 8459689
Arkansas, 8201217
NorthCarolina, 8157849
Rutgers, 8014944
Houston, 7963934
Maryland, 7727539
LSU, 7577482
WestVirginia, 7533734
NCState, 7438306
Missouri, 7321237
PennState, 7194442
Michigan, 7178783
Iowa, 7174148
Florida, 7063816
ArizonaState, 6993562
Clemson, 6794521
VirginiaTech, 6706124
Memphis, 6630867
SouthCarolina, 6612640
Purdue, 6605656
Wisconsin, 6574235
Minnesota, 6296158
MississippiState, 6260208
IowaState, 6160639
California, 5912460
WashingtonState, 5803658
GeorgiaTech, 5774159
Colorado, 5156520
OklahomaState, 5097903
OregonState, 5010897
UNLV, 4822800
UtahState, 4474902
UCF, 4316642
SanDiegoState, 4256832
ColoradoState, 3685315
SouthFlorida, 3639124
UTEP, 3411469
NewMexico, 3322943
Nevada, 3229484
NewMexicoState, 3040489
EastCarolina, 3006942
Wyoming, 3002972
BoiseState, 2913410
Charlotte, 2886076
Massachusetts, 2815093
NorthTexas, 2786595
MiddleTennessee, 2714365
OldDominion, 2710776
Buffalo, 2569833
GeorgiaState, 2484584
FresnoState, 2424425
SanJoseState, 2349869
LouisianaLafayette, 2330652
Marshall, 2292463
Akron, 2169057
UTSA, 2150124
Toledo, 2134330
CoastalCarolina, 2123196
Troy, 2102135
CentralMichigan, 2063905
SouthAlabama, 2027042
FIU, 1866166
TexasState, 1857656
BowlingGreen, 1822773
SouthernMississippi, 1805475
FAU, 1794893
AppState, 1644277
MiamiOhio, 1634566
BallState, 1566324
GeorgiaSouthern, 1541356
EasternMichigan, 1478566
LouisianaMonroe, 1298504
WesternMichigan, 1210588
KentState, 697527
Total, 517424612
Average, 5624180
