School, CoachingSalariesBenefitsandBonusespaidbytheUniversityandRelatedEntities
Kentucky, 10439122
TexasTech, 6451669
Tennessee, 6161572
Louisville, 5965805
Oregon, 5851442
TexasAM, 5776326
Kansas, 5700724
Auburn, 5570184
MichiganState, 5528179
Indiana, 5457446
Virginia, 5428715
Texas, 5266297
Illinois, 5211206
UCLA, 5144733
Utah, 5110642
WestVirginia, 5069150
Houston, 4842768
Oklahoma, 4800306
Connecticut, 4771126
Arizona, 4495662
OleMiss, 4491178
Maryland, 4448680
OhioState, 4428331
Arkansas, 4356584
Georgia, 4351067
Washington, 4256210
FloridaState, 4241261
NCState, 4092614
Purdue, 4083356
LSU, 4069490
Iowa, 4063420
Nebraska, 3992483
NorthCarolina, 3972338
Wisconsin, 3970671
Florida, 3970381
Minnesota, 3969976
KansasState, 3929246
Alabama, 3775493
VirginiaTech, 3736886
Hawaii, 3715343
Missouri, 3675245
ArizonaState, 3644016
IowaState, 3634286
MississippiState, 3585677
Michigan, 3539665
Rutgers, 3409999
Colorado, 3343463
Clemson, 3322451
Memphis, 3215799
OregonState, 3158508
GeorgiaTech, 3077449
OklahomaState, 2839726
UCF, 2620448
PennState, 2603662
California, 2555537
Cincinnati, 2529621
UNLV, 2173369
WashingtonState, 2085327
SouthFlorida, 2057145
SanDiegoState, 1849776
UtahState, 1747997
SouthCarolina, 1700545
EastCarolina, 1667220
ColoradoState, 1607922
Massachusetts, 1550813
WesternKentucky, 1479945
NewMexico, 1458469
Charlotte, 1397197
Wyoming, 1393827
AirForce, 1389470
UTEP, 1370749
Akron, 1341496
FresnoState, 1338230
MiddleTennessee, 1328272
NorthTexas, 1328091
NewMexicoState, 1302195
Nevada, 1275683
BoiseState, 1261412
UAB, 1260849
GeorgiaState, 1259820
OldDominion, 1180333
LouisianaLafayette, 1174376
Buffalo, 1148876
UTSA, 1147715
BowlingGreen, 1128378
Toledo, 1123040
Ohio, 1063092
SanJoseState, 1041144
Marshall, 1025747
FAU, 992124
LouisianaTech, 953965
AppState, 944921
WesternMichigan, 931951
CentralMichigan, 921161
EasternMichigan, 908223
MiamiOhio, 907073
KentState, 874537
FIU, 855897
SouthAlabama, 818821
BallState, 768833
CoastalCarolina, 733808
SouthernMississippi, 714935
TexasState, 692140
GeorgiaSouthern, 656816
NorthernIllinois, 626996
LouisianaMonroe, 558628
ArkansasState, 437918
Total, 306670901
Average, 2866083
