School, SportsEquipmentUniformsandSupplies
Oklahoma, 482219
Washington, 468428
Kentucky, 409958
Memphis, 328444
Rutgers, 322868
California, 320717
Auburn, 311037
Arkansas, 302918
Illinois, 301619
Minnesota, 284443
OklahomaState, 280308
MichiganState, 268744
OregonState, 258569
Nevada, 253372
MississippiState, 245313
Nebraska, 243186
ArizonaState, 241925
Alabama, 234941
KansasState, 232405
GeorgiaTech, 229009
Utah, 227561
Oregon, 223304
OleMiss, 210438
WestVirginia, 196129
Clemson, 193001
IowaState, 191728
UNLV, 190849
Houston, 188448
NCState, 176588
Purdue, 172986
SouthCarolina, 170985
Tennessee, 170692
NorthCarolina, 170617
OhioState, 170570
Texas, 169744
Maryland, 163422
FloridaState, 161782
Connecticut, 159440
LSU, 159152
VirginiaTech, 157458
OldDominion, 155830
UCLA, 154108
Michigan, 148305
UtahState, 146811
SouthFlorida, 144473
TexasAM, 142305
TexasTech, 138079
PennState, 137021
ColoradoState, 133744
Iowa, 131250
Georgia, 128569
BowlingGreen, 123760
SanDiegoState, 119921
AirForce, 116063
Indiana, 114002
Hawaii, 113962
Arizona, 109010
Florida, 107122
UCF, 101244
Wisconsin, 101239
Missouri, 99512
WashingtonState, 99370
UTEP, 97354
Louisville, 97207
EastCarolina, 91350
SouthAlabama, 91261
Kansas, 86594
Virginia, 82026
UTSA, 80970
ArkansasState, 80335
KentState, 80158
Colorado, 79760
UAB, 78763
Akron, 76771
Buffalo, 75697
LouisianaTech, 75226
Charlotte, 74844
LouisianaLafayette, 74333
EasternMichigan, 71433
FAU, 69047
Marshall, 68739
Toledo, 67737
FresnoState, 58151
GeorgiaState, 55534
MiamiOhio, 53552
AppState, 53362
NorthTexas, 51559
BallState, 49548
CentralMichigan, 48944
CoastalCarolina, 48738
FIU, 48180
WesternMichigan, 45220
SanJoseState, 43307
Ohio, 41080
MiddleTennessee, 40057
Wyoming, 40027
WesternKentucky, 34714
SouthernMississippi, 34244
NewMexico, 33005
LouisianaMonroe, 29990
NorthernIllinois, 29270
TexasState, 27976
GeorgiaSouthern, 24267
Massachusetts, 22386
BoiseState, 19361
NewMexicoState, 12243
Cincinnati, 9708
Total, 14965045
Average, 139860
