School, SupportStaffAdministrativeCompensationBenefitsandBonusespaidbytheUniversityandRelatedEntities
Utah, 1351147
Kentucky, 1338037
Texas, 1305775
Houston, 1094589
Rutgers, 1019427
NorthCarolina, 1001948
Kansas, 978480
TexasTech, 928902
IowaState, 865293
VirginiaTech, 805090
MichiganState, 779521
Indiana, 774156
Auburn, 737258
Clemson, 723877
SanDiegoState, 708916
NCState, 706267
Illinois, 695140
Arkansas, 670511
Louisville, 664693
Nebraska, 629922
LSU, 613221
OleMiss, 604188
OhioState, 570912
Arizona, 549471
PennState, 533158
Missouri, 512761
Michigan, 494464
SouthCarolina, 492439
OklahomaState, 489162
UCLA, 437318
Oklahoma, 435425
NewMexico, 421864
GeorgiaTech, 402935
Purdue, 396687
Florida, 390710
ArizonaState, 384995
WestVirginia, 378435
FloridaState, 373402
Iowa, 368250
California, 365585
Maryland, 354788
Tennessee, 348426
UNLV, 332062
Wisconsin, 313800
Colorado, 306376
Nevada, 299390
Minnesota, 296635
UTEP, 275281
MississippiState, 262238
ColoradoState, 261649
Oregon, 259998
UCF, 245773
WashingtonState, 238010
SouthFlorida, 235468
OldDominion, 231411
EastCarolina, 228193
Memphis, 215010
Wyoming, 179299
Charlotte, 174239
Marshall, 173318
NewMexicoState, 164601
LouisianaLafayette, 162110
OregonState, 156251
GeorgiaState, 147810
TexasState, 128407
SouthernMississippi, 124299
FIU, 121933
FresnoState, 118192
Akron, 116045
SanJoseState, 114927
Massachusetts, 114846
UTSA, 112425
FAU, 110269
Buffalo, 106219
NorthTexas, 105852
BallState, 93196
BoiseState, 90772
BowlingGreen, 90409
MiddleTennessee, 81788
EasternMichigan, 75470
LouisianaMonroe, 68350
CoastalCarolina, 66685
GeorgiaSouthern, 63954
UtahState, 44776
AppState, 27173
Troy, 14580
CentralMichigan, 11200
WesternMichigan, 11006
SouthAlabama, 7649
MiamiOhio, 0
Toledo, 0
KentState, 0
Total, 34876889
Average, 379096
