School, SportsEquipmentUniformsandSupplies
Louisville, 617236
Oklahoma, 476089
UNLV, 434247
Washington, 362940
Minnesota, 361272
Kentucky, 351164
Missouri, 325502
ArizonaState, 318071
Illinois, 309102
California, 293659
Rutgers, 281970
Alabama, 277416
Auburn, 270475
VirginiaTech, 269949
Arizona, 265187
OklahomaState, 264290
MichiganState, 253003
NorthCarolina, 250430
MississippiState, 248387
Memphis, 239107
Arkansas, 235728
Oregon, 232194
OleMiss, 226897
Nebraska, 216822
Clemson, 203499
Nevada, 200046
KansasState, 196128
Texas, 195814
SouthFlorida, 190822
NCState, 189724
IowaState, 189340
FloridaState, 188747
Utah, 184476
OhioState, 174078
UCLA, 167435
SouthCarolina, 166983
Purdue, 165736
OldDominion, 160688
LSU, 160589
WestVirginia, 157957
Houston, 148496
Wisconsin, 148091
Iowa, 142241
Connecticut, 140076
WashingtonState, 139594
Maryland, 138871
Indiana, 137576
TexasAM, 133243
UtahState, 127798
KentState, 127731
Tennessee, 123197
ColoradoState, 120132
Michigan, 118748
Florida, 116723
TexasTech, 111231
Georgia, 107283
UTEP, 105388
UCF, 102720
Akron, 101721
Marshall, 100800
Kansas, 100722
GeorgiaTech, 94516
EasternMichigan, 94500
LouisianaLafayette, 94413
BowlingGreen, 92707
Wyoming, 89636
Virginia, 87889
SouthAlabama, 85283
Colorado, 84701
Toledo, 84522
SanJoseState, 81850
EastCarolina, 81166
UAB, 80598
WesternKentucky, 78551
BallState, 78502
Massachusetts, 76633
UTSA, 76326
AppState, 75165
WesternMichigan, 72286
Navy, 70713
Ohio, 70657
FresnoState, 69893
GeorgiaState, 65431
PennState, 64726
OregonState, 61847
AirForce, 61488
NewMexico, 60589
SanDiegoState, 59997
MiddleTennessee, 55150
BoiseState, 54726
FAU, 52922
GeorgiaSouthern, 51349
FIU, 48520
NorthTexas, 47976
NorthernIllinois, 44949
MiamiOhio, 44209
Charlotte, 43588
ArkansasState, 41566
Buffalo, 35683
LouisianaTech, 35525
CoastalCarolina, 32408
LouisianaMonroe, 31568
NewMexicoState, 29149
TexasState, 28086
Cincinnati, 24566
CentralMichigan, 24095
SouthernMississippi, 14202
Total, 15700403
Average, 146732
