School, CoachingSalariesBenefitsandBonusespaidbytheUniversityandRelatedEntities
Kentucky, 10414997
Virginia, 7449645
Kansas, 6666754
MichiganState, 5638409
UCLA, 5610466
Tennessee, 5454627
Oregon, 5378522
Louisville, 5360866
TexasTech, 5245130
FloridaState, 5242067
Michigan, 5214244
Texas, 5204711
Indiana, 5156113
Houston, 5072698
Oklahoma, 4901090
Utah, 4836346
WestVirginia, 4813187
KansasState, 4654152
Illinois, 4650117
OhioState, 4616366
Purdue, 4569551
Auburn, 4491575
NorthCarolina, 4484438
Alabama, 4483431
TexasAM, 4420818
LSU, 4355854
Georgia, 4343058
Minnesota, 4325391
Arizona, 4324895
Maryland, 4073766
Missouri, 4031857
NCState, 3961671
OleMiss, 3933681
Nebraska, 3870758
Colorado, 3834933
VirginiaTech, 3789979
ArizonaState, 3769418
Arkansas, 3731304
Washington, 3689299
Florida, 3595047
Wisconsin, 3555747
Iowa, 3528749
MississippiState, 3387534
Connecticut, 3370369
IowaState, 3364083
Clemson, 3307617
Rutgers, 3304142
Cincinnati, 3216044
OregonState, 2970738
GeorgiaTech, 2916814
OklahomaState, 2877442
California, 2653553
Memphis, 2611237
PennState, 2580152
UCF, 2046815
WashingtonState, 2015117
SanDiegoState, 1842439
SouthFlorida, 1799495
UNLV, 1750088
Buffalo, 1742376
SouthCarolina, 1738599
UtahState, 1668862
Nevada, 1665086
EastCarolina, 1551317
ColoradoState, 1537510
NewMexico, 1409451
WesternKentucky, 1381044
BoiseState, 1371537
Charlotte, 1369171
FresnoState, 1344992
OldDominion, 1344907
MiddleTennessee, 1339681
UTEP, 1324295
Ohio, 1322331
GeorgiaState, 1291443
Wyoming, 1266915
UAB, 1251751
AirForce, 1213487
NorthTexas, 1204699
LouisianaLafayette, 1199082
Massachusetts, 1119552
NewMexicoState, 1104032
Toledo, 1076828
FAU, 1068857
Marshall, 994830
SanJoseState, 994590
Akron, 978806
CentralMichigan, 961153
LouisianaTech, 959888
WesternMichigan, 917562
EasternMichigan, 912088
UTSA, 901655
MiamiOhio, 881320
BowlingGreen, 865723
KentState, 852418
SouthAlabama, 809106
FIU, 805047
SouthernMississippi, 753483
GeorgiaSouthern, 751022
CoastalCarolina, 742270
BallState, 723175
TexasState, 719336
AppState, 703857
LouisianaMonroe, 603503
NorthernIllinois, 601972
ArkansasState, 451101
Total, 298551116
Average, 2816519
