School, AthleticStudentAid
Auburn, 981560
LSU, 912956
GeorgiaTech, 906104
Michigan, 888097
Connecticut, 884403
Maryland, 870563
SouthCarolina, 857967
Virginia, 853565
Rutgers, 848465
Tennessee, 786136
Texas, 766889
MiamiOhio, 752310
Colorado, 738629
VirginiaTech, 737585
PennState, 731143
Massachusetts, 725937
Wisconsin, 718933
MichiganState, 712862
Clemson, 706280
Kansas, 703022
Indiana, 701327
Kentucky, 699995
NorthCarolina, 679174
Alabama, 649956
Washington, 648013
FloridaState, 642551
Arizona, 636320
Buffalo, 626081
UCLA, 623405
Florida, 622101
UNLV, 618234
OhioState, 616195
ColoradoState, 611917
MiddleTennessee, 608405
Oregon, 605746
Minnesota, 605675
California, 602904
MississippiState, 600121
Utah, 597726
Arkansas, 595008
Oklahoma, 594711
OldDominion, 593840
NCState, 592575
Louisville, 589915
Nebraska, 589806
WashingtonState, 575452
OleMiss, 566029
Georgia, 565852
Illinois, 565439
TexasAM, 560497
ArizonaState, 550128
EastCarolina, 540165
Purdue, 537010
Cincinnati, 531186
Memphis, 528538
Iowa, 526652
OregonState, 518825
IowaState, 516176
ArkansasState, 515570
NewMexicoState, 513886
WesternMichigan, 513542
Missouri, 513309
Nevada, 512932
CoastalCarolina, 511948
NewMexico, 506400
WestVirginia, 503954
Ohio, 488469
UCF, 487864
KansasState, 487443
FAU, 485688
Toledo, 480666
Houston, 469105
SanJoseState, 468843
WesternKentucky, 468560
Akron, 465965
EasternMichigan, 465890
SouthFlorida, 456273
BoiseState, 455271
Charlotte, 451092
GeorgiaState, 444598
BallState, 437925
UtahState, 435701
FresnoState, 428335
TexasTech, 424184
LouisianaTech, 423533
Wyoming, 421129
NorthernIllinois, 417958
SanDiegoState, 415101
Marshall, 413043
KentState, 412656
SouthAlabama, 405284
TexasState, 404938
NorthTexas, 402601
AppState, 401356
UAB, 397836
BowlingGreen, 395247
UTSA, 377606
LouisianaLafayette, 372281
UTEP, 355434
GeorgiaSouthern, 355339
OklahomaState, 346940
LouisianaMonroe, 331517
FIU, 330978
CentralMichigan, 321174
SouthernMississippi, 282595
Navy, 0
AirForce, 0
Total, 59095015
Average, 552289
