School, AthleticFacilitiesDebtServiceLeasesandRentalFee
Louisville, 4172934
MichiganState, 2988752
OleMiss, 2638096
CoastalCarolina, 1527439
OhioState, 1435176
NCState, 1403772
Memphis, 1376050
Florida, 834978
Arkansas, 670899
Tennessee, 481922
FloridaState, 452071
ArizonaState, 425864
UTEP, 422342
Nebraska, 411591
Connecticut, 367000
BoiseState, 339783
VirginiaTech, 325849
PennState, 282767
OregonState, 274750
TexasTech, 269163
Wisconsin, 248571
UCF, 197793
SouthFlorida, 181500
SanDiegoState, 151427
GeorgiaState, 144054
SanJoseState, 117682
UtahState, 100754
NewMexicoState, 80000
AirForce, 72150
UAB, 40428
Utah, 28000
LouisianaLafayette, 18786
BowlingGreen, 17433
SouthCarolina, 17000
WestVirginia, 5136
EastCarolina, 5127
Cincinnati, 3036
TexasAM, 2694
Massachusetts, 2591
WesternMichigan, 540
UCLA, 0
Houston, 0
Clemson, 0
Nevada, 0
FresnoState, 0
Wyoming, 0
Georgia, 0
Buffalo, 0
Iowa, 0
MississippiState, 0
UTSA, 0
WesternKentucky, 0
Michigan, 0
Alabama, 0
Minnesota, 0
Hawaii, 0
GeorgiaSouthern, 0
Marshall, 0
MiamiOhio, 0
Kansas, 0
ColoradoState, 0
Purdue, 0
OldDominion, 0
ArkansasState, 0
Akron, 0
Maryland, 0
UNLV, 0
LouisianaTech, 0
FIU, 0
MiddleTennessee, 0
NorthCarolina, 0
Indiana, 0
OklahomaState, 0
Ohio, 0
TexasState, 0
California, 0
AppState, 0
Washington, 0
NewMexico, 0
Auburn, 0
Texas, 0
BallState, 0
FAU, 0
WashingtonState, 0
LouisianaMonroe, 0
Virginia, 0
KansasState, 0
NorthTexas, 0
Oregon, 0
GeorgiaTech, 0
Colorado, 0
Rutgers, 0
Kentucky, 0
Missouri, 0
Oklahoma, 0
CentralMichigan, 0
IowaState, 0
Toledo, 0
LSU, 0
Charlotte, 0
SouthernMississippi, 0
EasternMichigan, 0
Illinois, 0
Arizona, 0
KentState, 0
SouthAlabama, 0
NorthernIllinois, 0
Total, 22535900
Average, 210615
